of,and,of the,for,in the,with,in,to,the,that,
82.748948,77.138850,29.453015,4.207574,7.012623,9.817672,14.025245,18.232819,72.931276,11.220196,
31.468531,50.116550,4.662005,25.641026,2.331002,10.489510,16.317016,29.137529,37.296037,16.317016,
80.536913,102.908277,15.659955,4.474273,2.237136,13.422819,6.711409,24.608501,55.928412,8.948546,
41.666667,61.274510,12.254902,14.705882,7.352941,0.000000,12.254902,12.254902,41.666667,19.607843,
62.500000,88.815789,14.802632,8.223684,3.289474,4.934211,13.157895,19.736842,77.302632,21.381579,
29.484029,92.137592,12.285012,4.914005,4.914005,8.599509,11.056511,25.798526,63.882064,15.970516,
31.250000,88.709677,10.080645,7.056452,1.008065,8.064516,7.056452,20.161290,65.524194,14.112903,
16.550523,70.557491,1.742160,11.324042,0.871080,8.710801,7.839721,21.777003,40.940767,15.679443,
22.381379,62.667860,2.685765,10.743062,2.685765,2.685765,10.743062,33.124440,72.515667,15.219338,
25.939177,74.239714,12.522361,7.155635,2.683363,16.100179,11.627907,23.255814,59.928444,14.311270,
42.005420,71.815718,6.775068,6.775068,4.065041,12.195122,14.905149,18.970190,63.685637,12.195122,
33.155080,93.048128,4.278075,9.625668,5.347594,8.556150,16.042781,23.529412,52.406417,22.459893,
29.197080,85.766423,5.474453,10.948905,3.649635,5.474453,10.036496,8.211679,81.204380,12.773723,
38.017651,59.063136,6.109980,10.862186,2.715547,11.541073,10.183299,25.797692,72.640869,15.614392,
36.556604,75.471698,5.896226,1.179245,5.896226,4.716981,21.226415,25.943396,66.037736,12.971698,
78.406170,66.838046,17.994859,10.282776,8.997429,7.712082,23.136247,11.568123,87.403599,15.424165,
41.009464,52.576236,14.721346,12.618297,2.103049,5.257624,7.360673,13.669821,51.524711,14.721346,
76.309795,51.252847,23.917995,1.138952,7.972665,9.111617,17.084282,10.250569,99.088838,10.250569,
44.444444,70.175439,21.052632,9.356725,3.508772,1.169591,11.695906,28.070175,85.380117,16.374269,
38.160490,77.720977,11.687843,8.993912,3.966655,8.124218,13.533292,23.184778,61.408905,15.527226,
38.144179,77.520837,11.572768,9.212258,4.010779,8.146895,13.599047,23.312653,61.561279,15.687995,
37.801625,77.913350,11.508495,9.072390,4.137178,8.085348,13.755591,23.290001,61.322637,15.561669,
38.493741,78.034077,11.449743,9.000712,4.165446,8.037845,13.982501,23.192532,61.749069,15.364006,
38.113858,77.930542,11.162967,9.018668,4.183485,7.967541,14.001009,23.398083,61.280693,15.409519,
38.320145,78.031861,11.589507,9.055601,4.444721,8.183272,14.248032,23.054396,61.623777,15.224209,
38.873090,78.421343,11.927901,9.084027,4.439716,8.224727,14.239827,22.607771,62.483377,15.058207,
39.084465,77.277947,12.038174,9.127628,4.573714,8.335643,14.394329,22.413179,62.091633,15.443710,
39.219547,77.297159,12.128133,9.194542,4.685870,8.367624,14.471068,22.267725,61.979485,15.416117,
39.711690,77.863349,12.223539,9.182464,4.719589,8.432070,14.632701,21.998420,62.045814,15.343602,
39.799338,77.560698,12.247457,9.406047,4.801003,8.504634,15.049676,21.771080,61.825165,15.480786,
39.813055,77.027499,12.256138,9.444207,4.809371,8.552147,15.068068,21.952449,61.707327,15.417135,
39.897560,76.849017,12.362082,9.319700,4.910173,8.568733,15.192652,22.086149,62.176266,15.423719,
32.224532,64.449064,12.474012,8.316008,5.197505,11.434511,13.513514,17.671518,75.883576,25.987526,
43.157895,81.052632,26.315789,8.421053,4.210526,5.263158,12.631579,23.157895,65.263158,11.578947,
41.958855,76.362791,12.785247,9.220875,5.714618,8.465383,16.272132,22.296695,60.768665,15.245438,
51.200000,108.800000,12.800000,8.000000,6.400000,8.000000,12.800000,22.400000,65.600000,4.800000,
41.929825,75.964912,12.865497,9.103314,5.750487,8.128655,16.335283,22.144250,60.623782,15.614035,
15.100671,102.348993,1.677852,6.711409,8.389262,13.422819,25.167785,33.557047,31.879195,10.067114,
42.177368,76.254065,13.026496,9.351369,5.695484,7.908257,15.874238,21.454273,61.111004,15.393200,
42.702074,76.468308,13.142082,9.226594,5.815080,7.850359,16.146540,21.535181,61.290948,15.545648,
43.263382,76.490268,13.362987,9.143096,6.006691,7.888534,16.271290,21.517640,61.473540,15.529957,
26.530612,91.836735,14.285714,12.244898,2.040816,6.122449,6.122449,12.244898,44.897959,26.530612,
54.469274,92.178771,12.569832,1.396648,2.793296,4.189944,8.379888,25.139665,58.659218,15.363128,
47.381546,73.566085,4.987531,8.728180,3.740648,16.209476,17.456359,38.653367,52.369077,17.456359,
44.752149,76.742773,14.107127,9.137078,5.903290,7.487629,15.734873,20.509593,63.178227,14.823335,
44.661819,76.731664,14.029217,9.031040,5.877684,7.550893,15.809683,20.593346,62.659545,14.780016,
44.669446,76.554922,13.975155,9.104059,5.764486,7.721433,15.591764,20.484132,62.473411,14.762188,
37.234043,47.872340,7.092199,15.957447,1.773050,12.411348,21.276596,21.276596,44.326241,17.730496,
44.771062,77.025711,14.147147,8.916091,5.993477,7.581854,15.756703,20.521835,62.687958,14.634250,
44.563949,77.101051,14.048691,8.837752,6.044689,7.462064,15.903785,20.635318,62.698016,14.444722,
44.698694,77.279531,14.188760,8.734699,5.966661,7.545468,16.054623,20.955076,62.783211,14.537328,
32.608696,93.167702,12.422360,1.552795,6.211180,10.869565,13.975155,31.055901,57.453416,15.527950,
26.874116,79.207921,7.072136,8.486563,1.414427,8.486563,7.072136,21.216407,66.478076,16.973126,
13.210040,70.013210,1.321004,10.568032,0.000000,6.605020,10.568032,22.457067,30.383091,14.531044,
25.879917,61.076605,3.105590,10.351967,3.105590,3.105590,11.387164,31.055901,75.569358,16.563147,
49.206481,76.927858,16.139726,8.391000,7.127170,7.686570,17.631459,20.407740,63.668006,14.585837,
37.914692,75.829384,6.319115,7.898894,3.159558,9.478673,11.058452,20.537125,64.770932,11.058452,
50.464697,77.042495,16.683571,8.383184,7.451719,7.286125,17.863427,20.388731,64.084784,14.427356,
51.237731,76.321584,16.914624,8.333848,7.654794,7.222668,17.902340,20.453937,64.139762,14.321872,
33.414833,54.604727,4.889976,11.409943,2.444988,11.409943,9.779951,27.709861,70.904645,16.299919,
35.326087,69.293478,6.793478,1.358696,6.793478,5.434783,23.097826,25.815217,57.065217,14.945652,
52.644810,76.359066,17.869488,8.232953,7.960616,7.038860,18.456059,20.278622,63.140253,14.538599,
66.312997,66.312997,21.220159,5.305040,5.305040,0.000000,13.262599,5.305040,63.660477,5.305040,
77.546296,50.925926,24.305556,1.157407,8.101852,9.259259,16.203704,10.416667,99.537037,10.416667,
48.816568,69.526627,25.147929,5.917160,4.437870,1.479290,14.792899,31.065089,82.840237,17.751479,
90.355330,85.279188,41.624365,5.076142,19.289340,9.137056,23.350254,19.289340,90.355330,17.258883,
70.278184,184.480234,4.392387,0.000000,2.928258,0.000000,14.641288,1.464129,80.527086,1.464129,
89.834515,145.390071,9.456265,0.000000,3.546099,2.364066,8.274232,4.728132,96.926714,3.546099,
74.927954,146.974063,2.881844,0.000000,0.000000,0.000000,11.527378,0.000000,95.100865,0.000000,
88.028169,151.408451,9.389671,7.042254,1.173709,3.521127,4.694836,4.694836,80.985915,11.737089,
96.385542,102.409639,13.554217,6.024096,10.542169,7.530120,27.108434,9.036145,81.325301,3.012048,
118.568233,79.791201,36.539896,3.728561,2.982849,32.065623,8.948546,5.965697,72.334079,4.474273,
78.219013,172.081829,6.016847,3.610108,1.203369,3.610108,7.220217,9.626955,67.388688,3.610108,
59.063136,230.142566,14.256619,0.000000,2.036660,4.073320,6.109980,2.036660,46.843177,0.000000,
114.583333,107.291667,44.791667,4.166667,8.333333,3.125000,20.833333,8.333333,89.583333,5.208333,
38.461538,109.890110,10.989011,8.241758,8.241758,0.000000,19.230769,21.978022,68.681319,19.230769,
73.093220,58.262712,21.186441,4.237288,5.296610,9.533898,12.711864,18.008475,109.110169,8.474576,
80.040527,96.251266,26.342452,11.144883,2.026342,9.118541,8.105370,33.434650,61.803445,10.131712,
59.585492,80.310881,7.772021,7.772021,5.181347,28.497409,15.544041,33.678756,77.720207,23.316062,
44.817927,98.039216,8.403361,8.403361,8.403361,5.602241,14.005602,19.607843,44.817927,11.204482,
78.431373,119.047619,39.215686,19.607843,1.400560,22.408964,2.801120,22.408964,82.633053,9.803922,
45.882353,78.823529,17.647059,14.117647,5.882353,11.764706,12.941176,31.764706,75.294118,12.941176,
26.957638,43.645700,5.134788,24.390244,2.567394,6.418485,16.688062,32.092426,29.525032,21.822850,
67.669173,102.756892,10.025063,2.506266,2.506266,7.518797,7.518797,17.543860,80.200501,7.518797,
55.555556,84.126984,14.285714,9.523810,3.174603,4.761905,15.873016,25.396825,76.190476,19.047619,
62.283737,93.425606,24.221453,0.000000,0.000000,20.761246,10.380623,17.301038,65.743945,17.301038,
38.293217,60.175055,18.599562,15.317287,6.564551,3.282276,10.940919,26.258206,63.457330,19.693654,
52.892562,72.727273,23.140496,28.099174,1.652893,8.264463,16.528926,26.446281,61.157025,6.611570,
86.637298,88.105727,32.305433,22.026432,10.279001,2.936858,14.684288,16.152717,93.979442,8.810573,
114.602588,64.695009,48.059150,5.545287,1.848429,1.848429,5.545287,51.756007,110.905730,0.000000,
44.198895,88.397790,14.732965,5.524862,5.524862,12.891344,5.524862,60.773481,82.872928,3.683241,
85.915493,74.647887,38.028169,15.492958,4.225352,1.408451,7.042254,12.676056,105.633803,2.816901,
90.683230,67.080745,33.540373,18.633540,8.695652,1.242236,29.813665,3.726708,120.496894,7.453416,
89.120370,68.287037,43.981481,53.240741,3.472222,9.259259,5.787037,13.888889,74.074074,4.629630,
60.728745,88.056680,12.145749,24.291498,8.097166,9.109312,18.218623,20.242915,69.838057,10.121457,
39.622642,75.471698,16.981132,22.641509,5.660377,5.660377,18.867925,18.867925,58.490566,16.981132,
37.209302,86.821705,6.201550,15.503876,4.651163,13.953488,37.209302,49.612403,41.860465,12.403101,
60.291060,87.318087,31.185031,4.158004,14.553015,16.632017,16.632017,18.711019,103.950104,10.395010,
55.462185,87.394958,20.168067,15.126050,6.722689,5.042017,16.806723,15.126050,119.327731,6.722689,
72.434608,62.374245,42.253521,16.096579,10.060362,12.072435,16.096579,14.084507,106.639839,16.096579,
32.810271,54.208274,5.706134,11.412268,9.272468,9.272468,19.971469,17.118402,39.942939,14.265335,
34.759358,81.550802,17.379679,16.042781,2.673797,5.347594,9.358289,17.379679,72.192513,12.032086,
76.492537,78.358209,26.119403,9.328358,14.925373,3.731343,20.522388,27.985075,85.820896,13.059701,
71.428571,91.836735,15.873016,6.802721,10.204082,9.070295,24.943311,22.675737,60.090703,10.204082,
25.044723,44.722719,3.577818,10.733453,3.577818,16.100179,7.155635,39.355993,59.033989,25.044723,
55.555556,131.687243,6.172840,20.576132,2.057613,0.000000,20.576132,28.806584,59.670782,4.115226,
62.370062,74.844075,24.948025,2.079002,8.316008,8.316008,16.632017,24.948025,72.765073,14.553015,
57.632399,82.554517,10.903427,9.345794,6.230530,18.691589,14.018692,17.133956,68.535826,7.788162,
31.250000,95.982143,6.696429,13.392857,6.696429,13.392857,24.553571,8.928571,64.732143,13.392857,
55.984556,86.872587,13.513514,9.652510,3.861004,25.096525,13.513514,11.583012,55.984556,13.513514,
64.718163,83.507307,18.789144,8.350731,12.526096,12.526096,25.052192,18.789144,48.016701,10.438413,
63.180828,122.004357,13.071895,2.178649,17.429194,21.786492,34.858388,23.965142,52.287582,4.357298,
50.428164,68.506185,15.223597,7.611798,4.757374,11.417697,13.320647,29.495718,64.700285,15.223597,
56.818182,71.022727,28.409091,19.886364,8.522727,11.363636,25.568182,25.568182,65.340909,11.363636,
60.104530,67.073171,17.421603,12.195122,10.452962,11.324042,20.034843,28.745645,59.233449,6.968641,
72.231140,73.836276,17.656501,4.815409,16.051364,14.446228,28.892456,20.866774,51.364366,9.630819,
83.333333,45.045045,13.513514,13.513514,6.756757,13.513514,18.018018,29.279279,76.576577,13.513514,
64.720812,77.411168,39.340102,3.807107,8.883249,13.959391,21.573604,15.228426,111.675127,12.690355,
69.667738,83.601286,34.297964,9.646302,8.574491,2.143623,18.220793,24.651661,80.385852,10.718114,
60.824742,58.762887,13.402062,9.278351,8.247423,9.278351,15.463918,38.144330,58.762887,18.556701,
45.769764,80.443828,19.417476,13.869626,13.869626,8.321775,30.513176,27.739251,72.122053,11.095700,
73.770492,81.967213,28.688525,0.000000,20.491803,8.196721,32.786885,12.295082,53.278689,8.196721,
73.660714,81.473214,27.901786,13.392857,10.044643,8.928571,20.089286,20.089286,62.500000,10.044643,
59.636992,92.480553,37.165082,14.693172,7.778738,13.828868,17.286085,19.878997,100.259291,8.643042,
52.934407,67.894131,19.562716,14.959724,4.602992,5.753740,13.808976,32.220944,88.607595,18.411968,
56.803170,100.396301,25.099075,13.210040,18.494055,2.642008,34.346103,31.704095,89.828269,13.210040,
73.800738,71.955720,20.295203,16.605166,11.070111,10.147601,17.527675,24.907749,53.505535,16.605166,
60.256410,75.641026,30.769231,8.974359,15.384615,5.128205,32.051282,23.076923,58.974359,10.256410,
64.595258,87.489779,29.435814,4.905969,10.629599,3.270646,22.076860,31.888798,91.578087,22.076860,
60.000000,83.333333,23.333333,15.555556,10.000000,6.666667,24.444444,30.000000,88.888889,14.444444,
68.825911,75.573549,33.738192,2.699055,8.097166,5.398111,28.340081,22.941970,52.631579,10.796221,
88.948787,59.299191,21.563342,2.695418,5.390836,32.345013,24.258760,10.781671,59.299191,16.172507,
129.258517,80.160321,18.036072,1.002004,0.000000,3.006012,4.008016,2.004008,119.238477,3.006012,
87.751371,63.985375,34.734918,9.140768,9.140768,12.797075,12.797075,21.937843,98.720293,10.968921,
55.916775,68.920676,19.505852,3.901170,10.403121,2.600780,15.604681,20.806242,89.726918,18.205462,
61.749571,54.888508,18.867925,0.000000,6.861063,3.430532,18.867925,24.013722,75.471698,22.298456,
84.832905,65.552699,33.419023,15.424165,10.282776,5.141388,15.424165,16.709512,80.976864,11.568123,
97.334878,55.619930,33.603708,8.111240,6.952491,6.952491,17.381228,32.444959,79.953650,12.746234,
101.010101,93.939394,34.343434,21.212121,4.040404,19.191919,6.060606,11.111111,72.727273,8.080808,
40.518639,56.726094,17.828201,24.311183,1.620746,9.724473,16.207455,29.173420,51.863857,12.965964,
84.415584,112.554113,34.632035,7.575758,2.164502,6.493506,5.411255,9.740260,47.619048,10.822511,
46.153846,74.358974,10.256410,7.692308,10.256410,2.564103,15.384615,15.384615,53.846154,23.076923,
29.247911,54.317549,12.534819,11.142061,5.571031,8.356546,12.534819,29.247911,90.529248,19.498607,
98.214286,53.571429,29.017857,0.000000,0.000000,1.116071,2.232143,7.812500,147.321429,5.580357,
30.726257,78.212291,11.173184,11.173184,9.776536,6.983240,12.569832,27.932961,72.625698,23.743017,
42.452830,66.037736,15.723270,14.150943,4.716981,1.572327,7.861635,14.150943,40.880503,26.729560,
31.561462,54.817276,6.644518,11.627907,6.644518,1.661130,26.578073,24.916944,48.172757,29.900332,
113.945578,87.585034,18.707483,0.850340,0.000000,1.700680,2.551020,6.802721,113.945578,5.952381,
43.731778,93.294461,18.950437,11.661808,13.119534,4.373178,20.408163,16.034985,107.871720,14.577259,
33.885542,87.349398,12.048193,9.036145,8.283133,6.024096,20.331325,16.566265,42.921687,12.048193,
79.754601,65.950920,27.607362,19.938650,4.601227,3.067485,7.668712,19.938650,115.030675,13.803681,
125.634518,82.487310,30.456853,5.076142,10.152284,1.269036,27.918782,7.614213,118.020305,7.614213,
103.225806,93.548387,25.806452,11.827957,12.903226,13.978495,12.903226,9.677419,101.075269,8.602151,
50.935551,72.765073,17.671518,12.474012,7.276507,6.237006,19.750520,17.671518,74.844075,17.671518,
39.106145,60.055866,15.363128,9.776536,8.379888,4.189944,22.346369,32.122905,93.575419,16.759777,
50.868486,49.627792,21.091811,12.406948,8.684864,9.925558,19.851117,22.332506,79.404467,11.166253,
32.608696,50.724638,7.246377,10.869565,9.057971,5.434783,16.304348,45.289855,88.768116,27.173913,
21.276596,71.566731,15.473888,13.539652,1.934236,7.736944,13.539652,48.355899,50.290135,19.342360,
26.315789,64.777328,16.194332,8.097166,10.121457,8.097166,18.218623,26.315789,78.947368,22.267206,
27.310924,65.126050,18.907563,8.403361,4.201681,2.100840,10.504202,46.218487,92.436975,21.008403,
26.239067,58.309038,11.661808,20.408163,5.830904,2.915452,14.577259,23.323615,93.294461,8.746356,
30.816641,86.286595,12.326656,12.326656,6.163328,9.244992,20.030817,32.357473,95.531587,15.408320,
46.747967,83.333333,19.308943,8.130081,7.113821,3.048780,16.260163,22.357724,83.333333,21.341463,
118.279570,86.021505,53.763441,10.752688,10.752688,0.000000,10.752688,10.752688,96.774194,0.000000,
23.400936,109.204368,9.360374,4.680187,7.800312,4.680187,18.720749,15.600624,49.921997,15.600624,
15.503876,82.687339,5.167959,10.335917,5.167959,10.335917,12.919897,23.255814,41.343669,12.919897,
25.345622,36.866359,18.433180,20.737327,0.000000,6.912442,11.520737,6.912442,57.603687,18.433180,
29.761905,44.642857,11.904762,5.952381,2.976190,5.952381,17.857143,11.904762,50.595238,8.928571,
38.031320,49.217002,33.557047,8.948546,8.948546,6.711409,31.319911,11.185682,49.217002,13.422819,
35.269710,31.120332,12.448133,18.672199,4.149378,0.000000,14.522822,12.448133,41.493776,24.896266,
25.380711,45.685279,2.538071,7.614213,10.152284,5.076142,10.152284,17.766497,20.304569,22.842640,
32.352941,52.941176,8.823529,11.764706,0.000000,8.823529,5.882353,8.823529,47.058824,5.882353,
20.220588,44.117647,9.191176,3.676471,1.838235,12.867647,11.029412,9.191176,34.926471,9.191176,
34.825871,54.726368,7.462687,2.487562,2.487562,9.950249,4.975124,4.975124,24.875622,22.388060,
17.804154,53.412463,5.934718,11.869436,0.000000,0.000000,11.869436,2.967359,32.640950,17.804154,
45.112782,75.187970,22.556391,0.000000,5.012531,15.037594,15.037594,17.543860,67.669173,10.025063,
14.527845,48.426150,0.000000,16.949153,2.421308,7.263923,9.685230,16.949153,16.949153,14.527845,
36.585366,58.536585,4.878049,7.317073,7.317073,4.878049,9.756098,7.317073,43.902439,19.512195,
27.322404,49.180328,3.642987,10.928962,0.000000,14.571949,14.571949,7.285974,47.358834,16.393443,
8.000000,37.333333,2.666667,10.666667,2.666667,18.666667,16.000000,8.000000,18.666667,5.333333,
22.900763,34.351145,7.633588,19.083969,7.633588,11.450382,15.267176,15.267176,41.984733,11.450382,
38.011696,49.707602,8.771930,11.695906,8.771930,2.923977,23.391813,5.847953,49.707602,8.771930,
18.947368,54.736842,6.315789,14.736842,2.105263,14.736842,16.842105,8.421053,16.842105,23.157895,
44.145873,36.468330,11.516315,9.596929,5.758157,3.838772,17.274472,11.516315,49.904031,7.677543,
28.735632,57.471264,15.325670,9.578544,7.662835,5.747126,26.819923,11.494253,42.145594,13.409962,
31.120332,51.867220,10.373444,12.448133,6.224066,8.298755,10.373444,14.522822,56.016598,10.373444,
10.714286,32.142857,0.000000,14.285714,0.000000,14.285714,7.142857,7.142857,39.285714,21.428571,
39.501040,41.580042,27.027027,18.711019,18.711019,6.237006,20.790021,14.553015,74.844075,8.316008,
33.333333,55.555556,0.000000,0.000000,0.000000,22.222222,22.222222,11.111111,44.444444,22.222222,
24.271845,53.398058,0.000000,0.000000,0.000000,9.708738,4.854369,9.708738,87.378641,14.563107,
26.809651,42.895442,5.361930,8.042895,5.361930,8.042895,13.404826,0.000000,50.938338,13.404826,
52.747253,52.747253,17.582418,24.175824,2.197802,10.989011,4.395604,10.989011,98.901099,4.395604,
19.801980,71.782178,2.475248,9.900990,9.900990,4.950495,19.801980,22.277228,71.782178,12.376238,
25.291829,44.747082,3.891051,15.564202,9.727626,5.836576,27.237354,23.346304,42.801556,7.782101,
27.496382,30.390738,5.788712,10.130246,5.788712,8.683068,10.130246,21.707670,37.626628,15.918958,
26.666667,26.666667,5.333333,10.666667,2.666667,2.666667,10.666667,16.000000,21.333333,10.666667,
24.809160,38.167939,9.541985,9.541985,1.908397,11.450382,19.083969,19.083969,30.534351,11.450382,
24.390244,37.398374,3.252033,14.634146,3.252033,6.504065,9.756098,17.886179,35.772358,21.138211,
39.370079,27.559055,19.685039,3.937008,3.937008,3.937008,19.685039,7.874016,27.559055,3.937008,
22.222222,42.424242,10.101010,10.101010,0.000000,8.080808,24.242424,12.121212,48.484848,14.141414,
49.751244,39.800995,17.412935,12.437811,4.975124,9.950249,17.412935,12.437811,64.676617,12.437811,
50.075873,34.901366,21.244310,15.174507,6.069803,4.552352,12.139605,18.209408,91.047041,10.622155,
20.964361,41.928721,16.771488,0.000000,6.289308,8.385744,14.675052,8.385744,88.050314,10.482180,
33.240997,41.551247,13.850416,0.000000,8.310249,19.390582,16.620499,2.770083,36.011080,22.160665,
35.502959,9.861933,3.944773,5.917160,0.000000,21.696252,5.917160,13.806706,43.392505,9.861933,
36.281179,79.365079,9.070295,15.873016,0.000000,4.535147,9.070295,4.535147,54.421769,20.408163,
61.538462,30.769231,46.153846,7.692308,46.153846,0.000000,61.538462,0.000000,69.230769,15.384615,
29.126214,43.689320,14.563107,9.708738,4.854369,14.563107,29.126214,0.000000,63.106796,9.708738,
43.165468,21.582734,7.194245,28.776978,0.000000,7.194245,7.194245,0.000000,43.165468,21.582734,
24.242424,42.424242,0.000000,12.121212,12.121212,6.060606,42.424242,0.000000,24.242424,24.242424,
20.408163,16.326531,0.000000,28.571429,16.326531,16.326531,44.897959,4.081633,20.408163,16.326531,
31.446541,12.578616,0.000000,31.446541,6.289308,12.578616,25.157233,6.289308,31.446541,0.000000,
21.406728,42.813456,12.232416,12.232416,3.058104,9.174312,21.406728,21.406728,55.045872,15.290520,
66.265060,60.240964,30.120482,6.024096,0.000000,6.024096,12.048193,6.024096,90.361446,18.072289,
21.798365,21.798365,8.174387,24.523161,13.623978,5.449591,38.147139,13.623978,57.220708,21.798365,
31.428571,25.714286,14.285714,14.285714,8.571429,2.857143,37.142857,11.428571,68.571429,8.571429,
15.625000,23.437500,0.000000,15.625000,0.000000,0.000000,23.437500,15.625000,125.000000,15.625000,
34.013605,13.605442,20.408163,34.013605,0.000000,27.210884,13.605442,0.000000,74.829932,13.605442,
9.345794,18.691589,0.000000,9.345794,0.000000,9.345794,37.383178,0.000000,18.691589,9.345794,
46.979866,20.134228,13.422819,6.711409,6.711409,0.000000,20.134228,6.711409,60.402685,26.845638,
0.000000,30.303030,0.000000,0.000000,0.000000,10.101010,40.404040,30.303030,30.303030,60.606061,
24.271845,14.563107,0.000000,14.563107,9.708738,0.000000,38.834951,19.417476,43.689320,9.708738,
32.154341,16.077170,9.646302,6.430868,3.215434,9.646302,25.723473,6.430868,35.369775,25.723473,
33.769063,44.662309,9.803922,11.982571,3.267974,6.535948,8.714597,14.161220,51.198257,11.982571,
51.470588,44.117647,29.411765,7.352941,0.000000,0.000000,11.029412,11.029412,80.882353,0.000000,
48.611111,48.611111,13.888889,0.000000,13.888889,6.944444,34.722222,6.944444,48.611111,6.944444,
36.585366,36.585366,4.065041,24.390244,8.130081,8.130081,28.455285,4.065041,36.585366,4.065041,
32.702238,39.586919,15.490534,13.769363,8.605852,1.721170,13.769363,10.327022,46.471601,18.932874,
50.847458,25.423729,16.949153,25.423729,25.423729,16.949153,33.898305,8.474576,25.423729,0.000000,
50.561798,50.561798,5.617978,5.617978,0.000000,0.000000,22.471910,0.000000,89.887640,22.471910,
26.315789,43.859649,8.771930,29.239766,5.847953,5.847953,17.543860,2.923977,35.087719,11.695906,
27.322404,43.715847,0.000000,16.393443,10.928962,32.786885,49.180328,0.000000,32.786885,5.464481,
44.117647,29.411765,14.705882,5.882353,11.764706,2.941176,29.411765,11.764706,32.352941,5.882353,
39.800995,44.776119,4.975124,4.975124,0.000000,14.925373,9.950249,29.850746,64.676617,4.975124,
78.212291,22.346369,39.106145,5.586592,5.586592,5.586592,11.173184,11.173184,162.011173,0.000000,
8.658009,38.961039,0.000000,21.645022,4.329004,4.329004,17.316017,30.303030,34.632035,8.658009,
28.112450,26.104418,4.016064,32.128514,8.032129,6.024096,30.120482,12.048193,30.120482,14.056225,
16.597510,33.195021,0.000000,12.448133,16.597510,12.448133,33.195021,4.149378,37.344398,12.448133,
57.142857,25.714286,31.428571,25.714286,2.857143,8.571429,25.714286,11.428571,82.857143,5.714286,
40.345821,60.518732,14.409222,2.881844,2.881844,2.881844,11.527378,5.763689,74.927954,31.700288,
12.411348,42.553191,3.546099,17.730496,7.092199,12.411348,15.957447,12.411348,24.822695,30.141844,
53.811659,35.874439,13.452915,8.968610,4.484305,8.968610,22.421525,22.421525,49.327354,13.452915,
37.037037,58.404558,12.820513,19.943020,11.396011,2.849003,22.792023,9.971510,78.347578,7.122507,
16.620499,38.781163,2.770083,33.240997,0.000000,2.770083,22.160665,5.540166,11.080332,19.390582,
11.111111,29.629630,3.703704,11.111111,0.000000,22.222222,11.111111,11.111111,18.518519,11.111111,
17.500000,50.000000,5.000000,7.500000,7.500000,0.000000,15.000000,20.000000,17.500000,17.500000,
25.000000,45.833333,0.000000,12.500000,0.000000,0.000000,16.666667,12.500000,33.333333,20.833333,
35.587189,35.587189,10.676157,21.352313,7.117438,21.352313,24.911032,3.558719,46.263345,3.558719,
38.461538,46.153846,15.384615,15.384615,0.000000,0.000000,7.692308,7.692308,38.461538,0.000000,
22.172949,42.128603,6.651885,33.259424,4.434590,8.869180,15.521064,15.521064,39.911308,8.869180,
42.813456,48.929664,9.174312,12.232416,3.058104,12.232416,18.348624,3.058104,51.987768,3.058104,
53.921569,29.411765,24.509804,0.000000,19.607843,14.705882,29.411765,4.901961,107.843137,9.803922,
62.937063,6.993007,20.979021,27.972028,0.000000,27.972028,0.000000,6.993007,104.895105,0.000000,
69.868996,26.200873,21.834061,26.200873,21.834061,4.366812,30.567686,13.100437,43.668122,4.366812,
35.608309,38.575668,5.934718,23.738872,14.836795,0.000000,23.738872,17.804154,35.608309,20.771513,
30.000000,52.500000,10.000000,10.000000,2.500000,7.500000,10.000000,20.000000,45.000000,15.000000,
21.739130,55.900621,0.000000,6.211180,6.211180,12.422360,24.844720,9.316770,18.633540,6.211180,
42.424242,48.484848,12.121212,24.242424,18.181818,0.000000,30.303030,6.060606,24.242424,6.060606,
46.052632,13.157895,0.000000,6.578947,0.000000,0.000000,13.157895,13.157895,32.894737,39.473684,
18.181818,27.272727,0.000000,27.272727,0.000000,9.090909,9.090909,9.090909,18.181818,9.090909,
22.988506,64.367816,9.195402,16.091954,9.195402,4.597701,25.287356,4.597701,22.988506,13.793103,
4.444444,0.000000,4.444444,31.111111,8.888889,0.000000,40.000000,0.000000,4.444444,8.888889,
13.043478,34.782609,0.000000,17.391304,4.347826,0.000000,8.695652,0.000000,47.826087,13.043478,
36.697248,4.587156,9.174312,4.587156,13.761468,4.587156,32.110092,9.174312,59.633028,18.348624,
35.398230,47.197640,2.949853,32.448378,5.899705,2.949853,23.598820,8.849558,35.398230,8.849558,
28.436019,18.957346,4.739336,14.218009,0.000000,9.478673,4.739336,18.957346,33.175355,18.957346,
22.556391,22.556391,7.518797,45.112782,7.518797,0.000000,15.037594,7.518797,37.593985,22.556391,
17.543860,30.701754,0.000000,13.157895,4.385965,4.385965,30.701754,17.543860,4.385965,4.385965,
15.463918,25.773196,5.154639,15.463918,15.463918,10.309278,30.927835,10.309278,20.618557,15.463918,
48.913043,38.043478,16.304348,5.434783,5.434783,5.434783,32.608696,10.869565,43.478261,10.869565,
48.689139,29.962547,18.726592,14.981273,3.745318,26.217228,14.981273,7.490637,78.651685,14.981273,
24.464832,27.522936,0.000000,9.174312,0.000000,15.290520,18.348624,15.290520,42.813456,3.058104,
9.009009,54.054054,9.009009,18.018018,0.000000,0.000000,0.000000,9.009009,81.081081,9.009009,
54.441261,17.191977,8.595989,7.163324,8.595989,11.461318,22.922636,4.297994,80.229226,17.191977,
