of,and,of the,for,in the,with,in,to,the,that,
53.333333,51.851852,14.814815,13.333333,5.925926,10.370370,20.740741,17.777778,68.148148,17.777778,
44.038668,85.929108,16.111708,8.592911,6.444683,3.222342,10.741139,12.889366,96.670247,21.482277,
32.258065,54.698457,7.012623,11.220196,12.622721,8.415147,28.050491,8.415147,74.333801,4.207574,
40.489642,56.497175,14.124294,14.124294,9.416196,4.708098,14.124294,26.365348,73.446328,20.715631,
47.311828,88.172043,23.655914,10.752688,4.301075,21.505376,17.204301,19.354839,68.817204,10.752688,
42.105263,75.000000,10.526316,15.789474,1.315789,7.894737,21.052632,19.736842,56.578947,18.421053,
32.763533,79.772080,15.669516,8.547009,5.698006,4.273504,8.547009,19.943020,98.290598,8.547009,
30.303030,48.128342,10.695187,8.912656,3.565062,7.130125,16.042781,5.347594,51.693405,24.955437,
13.437850,50.391937,2.239642,17.917133,1.119821,11.198208,8.958567,16.797312,31.354983,14.557671,
26.582278,34.177215,6.329114,22.784810,2.531646,10.126582,10.126582,20.253165,34.177215,15.189873,
35.066505,53.204353,13.301088,10.882709,9.673519,8.464329,25.392987,12.091898,56.831923,6.045949,
63.008130,113.821138,38.617886,2.032520,8.130081,8.130081,12.195122,6.097561,73.170732,4.065041,
51.835853,87.473002,21.598272,6.479482,14.038877,15.118790,16.198704,7.559395,58.315335,12.958963,
67.235859,78.975454,30.949840,21.344717,14.941302,9.605123,18.143010,6.403415,74.706510,9.605123,
71.684588,78.853047,28.673835,17.921147,5.376344,8.960573,8.960573,10.752688,78.853047,3.584229,
65.587045,80.161943,20.242915,10.526316,10.526316,8.097166,18.623482,8.906883,68.825911,11.336032,
52.945563,95.451156,31.319911,11.931394,6.711409,10.439970,8.948546,11.931394,78.299776,12.677107,
44.329897,61.855670,17.525773,10.309278,3.092784,8.247423,4.123711,15.463918,60.824742,13.402062,
63.926941,73.059361,11.415525,18.264840,9.132420,13.698630,34.246575,22.831050,75.342466,22.831050,
43.040293,72.344322,12.820513,11.904762,5.494505,2.747253,8.241758,14.652015,54.945055,14.652015,
21.126761,73.239437,11.267606,8.450704,2.816901,9.859155,15.492958,12.676056,59.154930,15.492958,
38.883350,70.787637,13.958126,9.970090,10.967099,16.949153,23.928215,7.976072,69.790628,11.964108,
65.853659,115.853659,23.170732,23.170732,3.658537,9.756098,21.951220,18.292683,82.926829,10.975610,
65.022422,78.475336,23.542601,26.905830,7.847534,8.968610,12.331839,17.937220,72.869955,5.605381,
